acronym;tp_min;tp_max;press_min;press_max;rain_max
SLZ;20.8;27.7;1011.9;1015.7;200
BAB;20.8;27.7;1011.9;1015.7;200
BJL;20.8;27.7;1011.9;1015.7;200
CAI;20.8;27.7;1011.9;1015.7;200
CGR*;20.8;27.7;1011.9;1015.7;200
CPN;20.8;27.7;1011.9;1015.7;200
CHP;20.8;27.7;1011.9;1015.7;200
CBA;20.8;27.7;1011.9;1015.7;200
CTB;20.8;27.7;1011.9;1015.7;200
JOI;20.8;27.7;1011.9;1015.7;200
LEB;20.8;27.7;1011.9;1015.7;200
MCL;20.8;27.7;1011.9;1015.7;200
ORN*;20.8;27.7;1011.9;1015.7;200
OPO;20.8;27.7;1011.9;1015.7;200
PIR;20.8;27.7;1011.9;1015.7;200
RLM;20.8;27.7;1011.9;1015.7;200
SBR;20.8;27.7;1011.9;1015.7;200
TMA;20.8;27.7;1011.9;1015.7;200
TLG;20.8;27.7;1011.9;1015.7;200
UBE;20.8;27.7;1011.9;1015.7;200
BRB;20.8;27.7;1011.9;1015.7;200
CPA;20.8;27.7;1011.9;1015.7;200
CGR;20.8;27.7;1011.9;1015.7;200
NAT;20.8;27.7;1011.9;1015.7;200
ORN;20.8;27.7;1011.9;1015.7;200
PMA;20.8;27.7;1011.9;1015.7;200
PTR;20.8;27.7;1011.9;1015.7;200
STM;20.8;27.7;1011.9;1015.7;200
SMS;20.8;27.7;1011.9;1015.7;200
CMS;20.8;27.7;1011.9;1015.7;200
CTS;20.8;27.7;1011.9;1015.7;200
FLN;20.8;27.7;1011.9;1015.7;200
SPK;20.8;27.7;1011.9;1015.7;200
MDS;20.8;27.7;1011.9;1015.7;200

#usar climatologia mais delta 20% temp e 10% pressao, prec mantém climatologia